Input_1,Input_2,Input_3,Input_4,Input_5,Output
1.0223,1.0251,1.0229,1.0257,1.0343,1.0352
1.0251,1.0229,1.0257,1.0343,1.0352,1.0440
1.0229,1.0257,1.0343,1.0352,1.0440,1.0319
1.0257,1.0343,1.0352,1.0440,1.0319,1.0370
1.0343,1.0352,1.0440,1.0319,1.0370,1.0384
1.0352,1.0440,1.0319,1.0370,1.0384,1.0379
1.0440,1.0319,1.0370,1.0384,1.0379,1.0394
1.0319,1.0370,1.0384,1.0379,1.0394,1.0305
1.0370,1.0384,1.0379,1.0394,1.0305,1.0304
1.0384,1.0379,1.0394,1.0305,1.0304,1.0332
1.0379,1.0394,1.0305,1.0304,1.0332,1.0415
1.0394,1.0305,1.0304,1.0332,1.0415,1.0399
1.0305,1.0304,1.0332,1.0415,1.0399,1.0369
1.0304,1.0332,1.0415,1.0399,1.0369,1.0354
1.0332,1.0415,1.0399,1.0369,1.0354,1.0410
1.0415,1.0399,1.0369,1.0354,1.0410,1.0436
1.0399,1.0369,1.0354,1.0410,1.0436,1.0420
1.0369,1.0354,1.0410,1.0436,1.0420,1.0455
1.0354,1.0410,1.0436,1.0420,1.0455,1.0470
1.0410,1.0436,1.0420,1.0455,1.0470,1.0529
1.0436,1.0420,1.0455,1.0470,1.0529,1.0504
1.0420,1.0455,1.0470,1.0529,1.0504,1.0497
1.0455,1.0470,1.0529,1.0504,1.0497,1.0488
1.0470,1.0529,1.0504,1.0497,1.0488,1.0424
1.0529,1.0504,1.0497,1.0488,1.0424,1.0449
1.0504,1.0497,1.0488,1.0424,1.0449,1.0472
1.0497,1.0488,1.0424,1.0449,1.0472,1.0482
1.0488,1.0424,1.0449,1.0472,1.0482,1.0481
