Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Output
158.0000,187.0000,161.0000,151.0000,154.0000,142.0000,125.0000,82.0000,79.0000
187.0000,161.0000,151.0000,154.0000,142.0000,125.0000,82.0000,79.0000,55.0000
161.0000,151.0000,154.0000,142.0000,125.0000,82.0000,79.0000,55.0000,47.0000
151.0000,154.0000,142.0000,125.0000,82.0000,79.0000,55.0000,47.0000,56.0000
154.0000,142.0000,125.0000,82.0000,79.0000,55.0000,47.0000,56.0000,56.0000
142.0000,125.0000,82.0000,79.0000,55.0000,47.0000,56.0000,56.0000,36.0000
125.0000,82.0000,79.0000,55.0000,47.0000,56.0000,56.0000,36.0000,65.0000
82.0000,79.0000,55.0000,47.0000,56.0000,56.0000,36.0000,65.0000,58.0000
79.0000,55.0000,47.0000,56.0000,56.0000,36.0000,65.0000,58.0000,25.0000
55.0000,47.0000,56.0000,56.0000,36.0000,65.0000,58.0000,25.0000,17.0000
47.0000,56.0000,56.0000,36.0000,65.0000,58.0000,25.0000,17.0000,5.0000
56.0000,56.0000,36.0000,65.0000,58.0000,25.0000,17.0000,5.0000,5.0000
56.0000,36.0000,65.0000,58.0000,25.0000,17.0000,5.0000,5.0000,5.0000
36.0000,65.0000,58.0000,25.0000,17.0000,5.0000,5.0000,5.0000,5.0000
65.0000,58.0000,25.0000,17.0000,5.0000,5.0000,5.0000,5.0000,5.0000
58.0000,25.0000,17.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
25.0000,17.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
17.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,28.0000
